"id","channel_group_id","sc_chid","name","created_at","updated_at","vod","aasm_state","sort_number","deleted_at","name_alter","unpublished_at"
193,8,192,"NHKワンセグ2","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
195,3,194,"スペースシャワーTV","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
197,2,196,"BSスカパー！","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
199,17,198,"青森放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
203,23,202,"琉球朝日放送","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
204,23,203,"沖縄テレビ","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
205,2,204,"WOWOWプライム","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
208,18,208,"新潟テレビ21","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
211,3,211,"スペースシャワーTV プラス","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
212,2,212,"Dlife","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
213,3,213,"日経CNBC","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
214,2,214,"スター・チャンネル3","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
215,3,215,"TBSチャンネル2","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
216,3,216,"スーパー！ドラマTV","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
217,2,217,"スター・チャンネル1","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",FALSE,"published",0,,"",
220,2,219,"スター・チャンネル2","2014-09-27 22:26:52.47732+00","2014-09-27 22:26:52.47732+00",FALSE,"published",0,,"",
221,3,220,"衛星劇場","2015-01-17 20:00:30.222029+00","2015-01-17 20:00:30.222029+00",FALSE,"published",0,,"",
207,18,207,"TeNYテレビ新潟","2014-07-06 13:46:42+00","2020-03-28 07:36:20.744329+00",FALSE,"published",0,,"",
206,18,206,"BSN新潟放送","2014-07-06 13:46:42+00","2020-03-28 07:36:49.897081+00",FALSE,"published",0,,"",
200,17,199,"ABA青森朝日放送","2014-07-06 13:46:42+00","2020-04-03 11:23:50.921794+00",FALSE,"published",0,,"",
201,17,200,"ATV青森テレビ","2014-07-06 13:46:42+00","2020-06-08 05:59:29.402032+00",FALSE,"published",0,,"",
170,16,168,"NBC長崎放送","2014-07-06 13:46:42+00","2020-06-08 06:08:58.626359+00",FALSE,"published",0,,"",
202,23,201,"RBC琉球放送","2014-07-06 13:46:42+00","2020-06-08 06:25:15.3458+00",FALSE,"published",0,,"",
222,3,221,"時代劇専門チャンネル","2015-02-14 20:00:45.500543+00","2015-02-14 20:00:45.500543+00",FALSE,"published",0,,"",
223,3,222,"歌謡ポップスチャンネル","2015-03-21 20:04:53.084347+00","2015-03-21 20:04:53.084347+00",FALSE,"published",0,,"",
229,3,224,"テレ朝チャンネル1 ","2015-10-01 12:40:39.647224+00","2015-10-01 12:40:39.647224+00",FALSE,"published",0,,"",
238,17,231,"仙台放送","2016-07-13 20:00:56.757069+00","2016-07-13 20:00:56.757069+00",FALSE,"published",0,,"",
239,17,232,"ミヤギテレビ","2016-07-13 20:00:56.772694+00","2016-07-13 20:00:56.772694+00",FALSE,"published",0,,"",
242,3,235,"MTV","2017-01-17 20:01:17.869874+00","2017-01-17 20:01:17.869874+00",FALSE,"published",0,,"",
107,4,107,"バンダイチャンネル","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",TRUE,"published",0,,"",
165,4,165,"ニコニコチャンネル","2014-07-06 13:46:42+00","2014-07-06 13:46:42+00",TRUE,"published",0,,"",
241,4,234,"dアニメストア","2016-10-06 20:00:40.008053+00","2016-10-06 20:00:40.008053+00",TRUE,"published",0,,"",
245,18,236,"長野放送","2017-12-03 20:01:09.430055+00","2017-12-03 20:01:09.430055+00",FALSE,"published",0,,"",
246,18,237,"長野朝日放送","2017-12-08 20:01:10.318768+00","2017-12-08 20:01:10.318768+00",FALSE,"published",0,,"",
252,11,242,"日本海テレビ","2018-04-18 20:02:24.728097+00","2018-04-18 20:02:24.728097+00",FALSE,"published",0,,"",
253,3,243,"テレ朝チャンネル2","2018-04-21 20:01:27.343025+00","2018-04-21 20:01:27.343025+00",FALSE,"published",0,,"",
255,8,245,"J:COMテレビ","2018-07-06 20:00:39.745486+00","2018-07-06 20:00:39.745486+00",FALSE,"published",0,,"",
243,4,,"Amazon プライム・ビデオ","2017-08-20 06:46:44.569091+00","2019-03-16 18:56:37.175393+00",TRUE,"published",0,,"",
15,2,15,"BSテレ東","2014-07-06 13:46:41+00","2019-03-17 14:15:14.621849+00",FALSE,"published",0,,"",
244,4,,"Netflix","2017-08-20 06:46:44.605851+00","2019-03-23 11:42:29.198497+00",TRUE,"published",0,,"",
266,22,,"石川テレビ","2019-09-30 15:05:19.301607+00","2019-09-30 15:05:19.301607+00",FALSE,"published",0,,"",
262,18,,"新潟放送","2019-03-23 16:59:46.839293+00","2019-03-23 17:00:23.283607+00",FALSE,"published",0,,"",
263,19,,"高知さんさんテレビ","2019-03-23 17:01:13.042472+00","2019-03-23 17:01:13.042472+00",FALSE,"published",0,,"",
264,17,,"福島中央テレビ","2019-03-23 17:02:34.859323+00","2019-03-23 17:02:34.859323+00",FALSE,"published",0,,"",
265,19,,"JRT 四国放送","2019-03-23 17:03:19.178313+00","2019-03-23 17:03:19.178313+00",FALSE,"published",0,,"",
179,4,178,"YouTube","2014-07-06 13:46:42+00","2019-03-23 11:43:58.56652+00",FALSE,"published",0,,"",
267,22,,"北日本放送","2019-09-30 15:05:48.307888+00","2019-09-30 15:05:48.307888+00",FALSE,"published",0,,"",
268,22,,"富山テレビ","2019-09-30 15:06:12.10657+00","2019-09-30 15:06:12.10657+00",FALSE,"published",0,,"",
270,4,,"FOD","2019-12-15 13:23:10.831901+00","2019-12-15 13:23:10.831901+00",FALSE,"published",0,,"",
271,18,,"YBS山梨放送","2019-12-28 07:26:53.789606+00","2019-12-28 07:26:53.789606+00",FALSE,"published",0,,"",
272,16,,"OAB大分朝日放送","2019-12-28 10:45:26.820728+00","2019-12-28 10:45:46.169706+00",FALSE,"published",0,,"",
171,16,169,"NCC長崎文化放送","2014-07-06 13:46:42+00","2019-12-28 10:45:58.847808+00",FALSE,"published",0,,"",
273,4,,"Hulu","2020-03-21 18:38:04.050056+00","2020-03-21 18:38:04.050056+00",FALSE,"published",0,,"",
274,17,,"IBC岩手放送","2020-03-26 17:23:39.974093+00","2020-03-26 17:23:39.974093+00",FALSE,"published",0,,"",
